,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,"Places other than 231, 232 & 233",Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Deaths due to negligent driving/act,Deaths due to Other Causes,Offences against State,Sedition,Other offences against State,Offences promoting enmity between different groups,Promoting enmity between different groups,"Imputation, assertions prejudicial to national integration",Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
Riots_Other Caste Conflict,0.44387339,0.364707265,0.131014823,0.025685964,0.464859036,0.006301839,0.001921645,0.00640235,0.467724879,0.241053882,0.47984888,0.043836803,0.328311639,0.324770984,0.032072418,0.252920339,0.218663946,0.314893902,0.558317673,0.290472045,0.560096198,0.245712655,0.521935404,0.579204809,0.564567903,0.551045672,0.399114418,0.382396656,0.385129642,0.130419022,0.360542061,0.283459487,0.12035386,0.104762413,0.971682674,0.563210767,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Agrarian,0.61801298,0.526053497,0.413563556,0.302382663,0.367492382,0.272097358,0.248553805,0.270818726,0.364456712,0.319207281,0.361554912,0.265323165,0.51373164,0.243649859,0.711099291,0.482986819,0.60859801,0.311150628,0.594150527,0.562022013,0.589803223,0.182307497,0.365738425,0.392825473,0.408205262,0.301335975,0.397176178,0.441360045,0.341407424,0.212588288,0.735705099,0.172536385,0.047875434,0.044645415,0.233006804,0.282981624,0.187615293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Students,0.119960036,0.13202453,0.117100395,0.711667907,0.191155468,0.045329304,0.036068888,0.045297429,0.191485747,0.057895386,0.200283611,0.053599531,0.07625939,0.055770737,0.044835562,0.076515895,0.065447536,0.070993487,0.125528915,0.083419436,0.125481927,0.10571662,0.119230053,0.168798473,0.163727244,0.162896413,0.096243921,0.089354116,0.094838523,0.118128478,0.337798657,0.033029924,0.04534458,0.860099152,0.047547756,0.041051908,0.044173971,0.052948423,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Sectarian,0.222527104,0.238568145,0.112590152,0.013846506,0.088719113,0.089416726,0.070125586,0.089388594,0.087515343,0.071632166,0.087290192,0.013937347,0.132553571,0.061488043,0.053088207,0.072728358,0.165084763,0.090110909,0.136663372,0.061731053,0.137329896,0.055925729,0.152160701,0.163512415,0.131773772,0.234533243,0.105623177,0.109126601,0.096466981,0.038954519,0.132413397,0.147690426,0.039376691,0.032942465,0.287564295,0.153776717,0.300496127,0.043632832,0.033878416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Others,0.807730097,0.764936172,0.541509576,0.478919438,0.58279169,0.298047426,0.242317802,0.297662781,0.580626247,0.404998889,0.585735748,0.486134187,0.663363085,0.357231919,0.707426251,0.696442511,0.699176595,0.528517041,0.789109443,0.703288019,0.784400308,0.478244773,0.566728038,0.595250619,0.618584535,0.456533587,0.565241879,0.573975029,0.52313437,0.251720242,0.998027079,0.337902536,0.27512222,0.393316536,0.401170212,0.459022474,0.332963415,0.748951062,0.303474764,0.122386834,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criminal Breach of Trust,0.892763348,0.792520362,0.841120727,0.398995141,0.759228288,0.654002998,0.552247946,0.652462295,0.751133644,0.731786498,0.738205716,0.560269602,0.864503534,0.552353093,0.597314543,0.83179116,0.858639335,0.700761548,0.689604371,0.793534267,0.68107433,0.46487306,0.637411969,0.667061537,0.668388784,0.582613618,0.730178719,0.787403954,0.644169373,0.300478857,0.687735542,0.364222976,0.283735537,0.254413033,0.39596135,0.580505698,0.283683439,0.46467942,0.123336523,0.105716883,0.682990613,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheating,0.735774147,0.667574384,0.524883396,0.436444257,0.773463167,0.322361401,0.460400524,0.315216266,0.772041965,0.712493652,0.762482372,0.470497816,0.703197168,0.517775425,0.404276789,0.592594453,0.59560933,0.669394893,0.551110289,0.532627985,0.546798634,0.461268365,0.597195156,0.70174941,0.681355334,0.675242723,0.714225578,0.752289914,0.642420086,0.768273412,0.574506948,0.280678229,0.215317151,0.326815127,0.358619879,0.43019126,0.290643359,0.399529892,0.256717015,0.142187046,0.563213506,0.672056425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgery,0.474854257,0.410932615,0.244713356,0.220115673,0.591710825,0.114712525,0.359426717,0.10553318,0.593241286,0.619586375,0.579118192,0.345534778,0.495365634,0.328608868,0.299819793,0.36263322,0.418497566,0.532934469,0.379493228,0.336964409,0.377259535,0.26376284,0.407427013,0.496584096,0.489599666,0.45652386,0.495930672,0.560492088,0.419832916,0.852819441,0.354933352,0.23410372,0.101913755,0.10229023,0.215029965,0.264505115,0.171956634,0.343201982,0.055947653,0.027189081,0.350926126,0.400113519,0.8032675,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counterfeiting,0.684126087,0.790441455,0.428196199,0.397075258,0.564261299,0.149856907,0.139917463,0.149049989,0.564917663,0.358111727,0.573266273,0.691551238,0.614717025,0.422011461,0.562123396,0.685937279,0.52342501,0.590846669,0.59205601,0.503155523,0.589127558,0.607915827,0.483227285,0.510835616,0.508147183,0.456763332,0.557894364,0.498798568,0.562930689,0.297201369,0.721883612,0.288499463,0.408602879,0.35704376,0.343828967,0.39061733,0.286357191,0.487177915,0.148604528,0.178838405,0.716461642,0.625701064,0.562067075,0.354909766,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counterfeit Offences related to Counterfeit Coin,0.287543049,0.256892575,0.111635262,0.155730962,0.076797086,-0.00115628,0.000621069,-0.00120776,0.077314147,0.015130004,0.081641451,0.192930297,0.225906213,0.035929118,0.680149266,0.228326531,0.324568062,0.085776952,0.296731084,0.259031946,0.295094206,0.023034688,0.086525399,0.111840733,0.141647825,0.013053582,0.132851404,0.126504612,0.128734485,0.047715404,0.484707534,0.067425566,-0.003836242,-0.002318794,0.00205937,-0.002026107,0.003255187,0.534947575,0.01569943,0.000724215,0.503827694,0.150967729,0.119625792,0.134863402,0.61534358,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
